,Name,Position,Age,Weight,Height,Pass Break,Intervention,Air Cannon,Shooting Percentage,Dribbling,Assists,Assists Per Game,Rust Percentage,Running Distance,Number of Matches,Classes
59,Steven Drake,Midfielder,29,77,190,10,10,13,32,86,18,0.4,43,350,155,1
60,Philip Munoz,Midfielder,20,80,182,15,16,8,39,70,18,0.8,98,500,150,0
61,Lawrence Poole,Midfielder,34,85,177,10,15,13,32,70,7,1.0,43,350,90,1
62,Matthew Ramsey,Midfielder,22,79,182,13,6,16,68,24,17,0.5,32,250,90,3
63,Ruben Underwood,Midfielder,22,85,195,6,13,13,59,86,16,0.8,32,200,149,1
64,David Graves,Midfielder,20,77,175,16,10,10,43,70,6,1.0,98,500,140,0
65,Donald Davenport,Midfielder,17,76,177,16,6,18,32,50,7,0.1,39,500,145,1
66,Shawn Hernandez,Midfielder,27,70,186,16,13,16,39,64,3,1.4,98,500,150,0
67,Johnny Singleton,Midfielder,19,82,190,10,14,16,98,24,6,0.4,73,200,90,3
68,Christopher Fields,Midfielder,22,80,186,6,8,10,32,50,17,1.4,68,250,149,0
69,Todd Wilson,Midfielder,32,76,190,8,6,10,43,92,7,0.5,98,200,90,0
70,Ryan Cross,Midfielder,27,76,177,10,6,9,59,64,6,0.1,32,350,102,1
71,Peter Keller,Midfielder,25,85,195,8,16,8,43,51,6,0.4,32,500,149,1
72,Thomas Lopez,Midfielder,29,76,177,15,15,16,98,64,6,0.1,32,400,150,2
73,Jason Garcia,Midfielder,25,77,182,16,15,10,73,51,6,0.1,73,250,155,0
74,Elijah Cox,Midfielder,29,80,195,10,8,13,59,86,21,1.0,32,250,90,1
75,Tommy Williams,Midfielder,32,70,186,10,10,13,98,70,18,0.4,98,400,140,2
76,Jeffery Bentley,Midfielder,22,70,182,6,6,10,32,24,18,0.8,43,400,145,3
77,Christian Burke,Midfielder,19,76,177,14,16,13,98,51,17,0.5,73,500,155,2
78,Daniel Craig,Midfielder,18,79,190,8,16,16,68,51,3,2.0,98,250,90,0
79,Kevin Henry,Midfielder,21,79,190,15,15,10,98,64,17,0.4,59,300,149,2
80,Ian Wheeler,Midfielder,25,80,195,13,14,18,39,50,21,1.0,73,300,150,0
81,John Potts,Midfielder,25,76,182,16,14,13,68,24,18,0.1,59,450,150,3
82,Cameron Morrison,Midfielder,18,80,182,14,14,8,68,64,6,1.0,98,400,140,0
83,Paul Hester DDS,Midfielder,18,77,190,10,16,18,68,64,17,1.4,32,300,145,1
84,Cole Watts,Midfielder,27,77,198,14,15,10,39,86,18,1.0,32,400,149,1
85,Jon Green,Midfielder,27,79,182,6,10,18,39,92,7,1.4,43,400,102,1
86,Jose Andrade,Midfielder,25,80,195,8,6,9,43,50,17,1.4,39,350,140,1
87,David Hernandez,Midfielder,34,85,190,6,13,9,43,86,6,0.4,32,200,90,1
88,Derrick Morrow,Midfielder,32,82,190,6,6,8,68,50,6,0.4,68,250,145,0
89,Grant Lang,Midfielder,20,79,190,13,6,10,39,92,17,0.4,73,450,155,0
90,Louis Mitchell,Midfielder,27,77,175,10,10,16,98,86,18,0.5,39,500,155,2
91,Gregory Burton,Midfielder,36,85,186,6,6,13,68,50,7,0.5,59,400,149,0
92,Adrian Morrison,Midfielder,34,79,182,15,8,13,73,64,7,2.0,98,350,102,0
93,Kyle Foster,Midfielder,21,82,177,15,16,13,39,92,16,1.0,43,400,150,1
94,Roberto Rodriguez,Midfielder,16,85,190,15,10,9,98,70,17,1.0,39,350,150,2
95,Brendan Martinez,Midfielder,22,82,198,15,16,10,39,51,17,1.0,73,350,90,0
96,Robert Maynard,Midfielder,32,82,195,15,14,16,68,50,18,0.1,73,350,149,0
97,Steve Coleman,Midfielder,32,80,177,6,10,9,43,24,16,2.0,43,300,145,3
98,David Oconnor,Midfielder,16,80,182,16,10,9,59,24,6,0.5,73,450,149,3
99,Christopher Burgess,Midfielder,20,82,190,15,13,16,73,50,18,0.5,39,500,102,1
100,Ryan Ellis,Midfielder,29,70,182,13,16,18,73,70,7,2.0,43,200,149,1
101,Steven Rosales,Midfielder,36,80,195,10,16,13,73,24,16,1.0,39,400,145,3
102,Patrick Berger,Midfielder,19,70,195,8,8,16,73,24,3,1.4,39,300,145,3
103,Roger Todd,Midfielder,25,79,198,8,8,13,39,24,21,1.0,98,400,150,0
104,Tony Strickland,Midfielder,16,76,177,15,6,9,98,92,3,0.8,68,300,140,2
105,Timothy Gonzalez,Midfielder,19,79,182,8,15,16,39,64,18,1.0,59,200,90,0
106,Matthew Bennett,Midfielder,25,79,195,8,13,8,32,51,17,1.0,59,500,149,0
107,Nicholas Powell,Midfielder,18,80,195,15,10,8,59,86,21,0.5,98,250,140,0
108,Dr. Jason Jimenez III,Midfielder,17,70,182,14,16,8,73,51,7,0.1,59,400,90,0
109,Christopher Richards,Midfielder,20,77,182,15,14,13,32,70,6,0.5,43,200,90,1
110,Eric Ward,Midfielder,19,76,186,13,16,13,98,64,3,0.5,59,400,155,2
111,Thomas Blanchard,Midfielder,17,85,177,14,8,13,98,70,17,0.5,73,350,149,2
112,Brandon Ellison,Midfielder,32,80,182,15,13,13,43,24,18,0.8,73,350,102,3
113,Ronald Marshall,Midfielder,20,70,190,8,14,10,32,92,7,0.8,73,350,140,0
114,Omar Ewing,Midfielder,22,70,175,13,6,13,39,24,7,0.4,68,500,145,3
115,Jerry Lewis,Midfielder,20,85,175,6,6,13,59,92,6,0.1,98,400,140,0
116,Dennis Reid,Midfielder,36,79,198,10,10,8,32,64,6,0.1,32,450,145,1
117,Ryan Tran,Midfielder,16,77,177,14,10,18,59,51,6,0.5,98,250,150,0
118,Kyle Anderson,Midfielder,34,70,195,13,15,10,39,64,3,1.0,68,450,140,0
119,Matthew Thomas,Midfielder,34,77,195,10,13,13,98,24,3,0.1,39,300,145,3
120,Mr. Michael Little MD,Midfielder,32,77,195,6,15,13,73,50,16,0.5,43,500,150,1
121,Brandon Mcdaniel,Midfielder,29,77,177,14,10,13,98,51,17,1.4,68,450,90,2
122,Darrell Bennett,Midfielder,29,77,190,10,13,18,43,64,7,1.0,73,300,149,0
123,Antonio Moore,Midfielder,25,76,175,14,6,16,73,24,6,0.4,32,400,145,3
124,Ryan Nelson,Midfielder,32,82,175,10,15,9,98,64,18,2.0,32,200,155,2
125,Frank Thornton,Midfielder,17,82,186,15,14,8,73,51,17,0.5,43,200,90,1
126,Scott Potter,Midfielder,17,79,182,15,14,9,73,24,17,0.1,43,350,145,3
127,Blake Cooper,Midfielder,36,80,186,6,15,16,68,92,17,0.5,32,400,155,1
128,Daniel Martin,Midfielder,20,82,182,14,14,8,32,50,6,1.0,68,500,90,0
129,Kevin White,Midfielder,32,70,175,8,6,9,73,24,3,1.0,59,300,150,3
130,Jeffrey Hopkins,Midfielder,34,82,195,14,6,13,39,86,21,1.4,68,300,90,0
131,Bradley Jensen,Midfielder,18,80,190,15,16,10,39,24,21,0.5,39,450,145,3
132,Jonathan Nicholson,Midfielder,34,77,195,15,6,8,98,86,18,0.5,43,350,150,2
133,Aaron Mccarthy,Midfielder,21,76,190,16,8,8,98,86,18,0.1,59,250,150,2
134,Matthew Simpson,Midfielder,22,82,198,13,13,13,32,24,18,1.4,73,500,149,3
135,Joseph Vincent,Midfielder,17,79,186,6,14,18,73,86,6,0.4,73,400,102,0
136,Nicholas Jackson,Midfielder,22,79,190,13,8,18,39,92,17,0.1,68,500,140,0
137,Tracy Hernandez,Midfielder,21,79,195,13,14,13,39,24,7,2.0,59,400,140,3
138,Charles Garcia,Midfielder,27,80,182,16,6,18,32,51,18,0.4,68,250,140,0
139,Michael Wilson DDS,Midfielder,20,82,190,10,15,10,68,64,6,0.4,59,300,150,0
140,Alan Jones,Midfielder,18,82,198,8,6,10,39,24,16,0.8,43,400,145,3
141,Justin Banks DDS,Midfielder,18,76,175,13,15,8,32,70,7,2.0,59,450,145,0
142,Stephen Garcia,Midfielder,17,82,177,6,16,10,39,64,21,1.0,59,500,140,0
143,James Hughes,Midfielder,19,76,198,16,10,13,68,64,16,0.8,32,300,145,1
144,Brandon Martinez,Midfielder,20,80,190,13,15,10,39,50,21,0.4,43,400,150,1
145,Matthew Compton,Midfielder,34,79,195,6,16,13,32,51,6,0.5,39,350,145,1
146,Lance Vaughn,Midfielder,20,82,186,10,8,9,43,24,17,0.1,73,200,149,3
147,Jeff Stanley,Midfielder,16,82,195,6,16,18,32,92,17,0.5,59,500,102,0
148,Brian Yoder,Midfielder,21,80,182,13,13,10,43,51,7,1.0,59,350,145,0
149,Jordan Howard,Midfielder,34,80,182,16,8,10,68,86,18,2.0,59,250,90,0
150,Stephen Acevedo,Midfielder,19,80,175,13,10,16,59,50,3,1.0,68,300,145,0
151,Donald Odom,Midfielder,34,76,186,8,6,18,73,70,17,0.1,59,350,149,0
152,James Kelly,Midfielder,32,79,198,6,6,10,39,64,18,1.4,73,250,90,0
153,Thomas Arnold,Midfielder,19,85,177,15,10,16,39,24,6,0.4,68,250,149,3
154,Thomas Nelson,Midfielder,16,79,195,14,16,8,32,92,7,1.0,43,500,155,1
155,Eric Freeman,Midfielder,27,79,177,6,13,10,39,86,18,1.0,98,450,102,0
156,Timothy Sanchez Jr.,Midfielder,29,70,175,16,13,18,59,86,17,2.0,98,350,149,0
157,Sergio Jones,Midfielder,16,80,195,14,15,16,68,86,17,1.4,59,350,150,0
158,Thomas Bowers,Midfielder,18,76,186,13,15,10,68,51,21,1.0,73,250,155,0
159,Robert Hood,Midfielder,16,76,195,13,10,8,98,64,6,1.4,32,400,155,2
160,Kevin Thornton,Midfielder,32,77,175,10,15,16,68,24,21,1.0,32,450,149,3
161,Garrett Stafford,Midfielder,32,77,177,6,15,9,39,51,18,0.1,43,250,155,1
162,Kyle Cox,Midfielder,29,77,195,8,16,8,59,64,7,0.1,43,400,140,1
163,Keith Adams,Midfielder,20,82,190,8,13,18,98,70,7,1.4,32,350,102,2
164,Dustin Wright,Midfielder,21,76,177,14,8,8,98,64,17,0.8,59,400,102,2
165,Marcus Shaw,Midfielder,34,82,186,10,15,10,59,70,21,0.5,43,300,149,1
166,Jason Carr,Midfielder,22,76,190,6,14,18,73,64,6,0.4,68,450,90,0
167,Jacob Jacobs,Midfielder,16,85,182,8,10,13,43,86,6,0.1,98,500,140,0
168,Jason Olson,Midfielder,32,82,195,15,6,16,98,51,16,1.0,39,350,140,2
169,Thomas Green,Midfielder,19,77,182,6,14,13,73,24,6,0.5,43,400,145,3
170,Marc Lewis,Midfielder,29,82,182,13,10,10,43,51,7,0.1,39,450,102,1
171,Adrian Miller,Midfielder,36,77,186,8,6,9,98,51,18,2.0,39,400,150,2
172,Michael Erickson,Midfielder,27,85,195,14,10,16,73,24,21,0.8,39,500,102,3
173,Richard Roth,Midfielder,17,70,195,10,10,13,73,24,18,0.5,32,350,149,3
174,Andrew Mccann,Midfielder,16,79,182,8,15,10,43,64,16,1.4,59,350,150,0
175,Jeremy Williams,Midfielder,19,76,182,13,13,8,98,64,17,2.0,68,300,150,2
176,Michael Dillon,Midfielder,18,76,190,16,8,18,68,50,18,0.1,68,350,140,0
177,Kenneth Murphy,Midfielder,36,80,182,16,8,16,39,92,6,0.5,98,200,149,0
178,Andrew Morales,Midfielder,18,85,190,16,14,8,43,92,3,1.4,73,450,90,0
179,Thomas Rivers,Midfielder,29,82,186,13,14,8,68,50,21,0.4,73,500,155,0
180,Kevin Townsend,Midfielder,29,82,190,14,10,10,43,24,17,1.4,59,200,145,3
181,Michael Turner,Midfielder,29,70,177,16,16,9,68,70,16,0.1,32,500,102,1
182,John Li,Midfielder,32,80,198,8,13,9,32,86,16,0.4,98,250,140,0
183,Samuel Bailey,Midfielder,21,79,198,15,15,13,73,24,21,0.1,43,350,102,3
184,Mitchell Hall,Midfielder,25,76,198,8,10,8,98,70,7,0.4,98,250,155,2
185,Michael Randall,Midfielder,25,79,177,6,10,9,59,51,17,0.1,73,350,149,0
186,Logan Nelson,Midfielder,20,77,177,16,15,9,39,24,3,0.4,98,250,155,0
187,Charles Jones,Midfielder,16,80,175,6,16,18,68,70,6,1.4,59,250,140,0
188,Thomas Bryant,Midfielder,27,80,198,14,8,9,39,92,17,2.0,98,450,150,0
189,Joseph Rosario,Midfielder,25,82,182,6,15,16,59,50,16,0.8,59,400,145,0
190,Richard Mckay,Midfielder,16,79,186,16,6,16,39,70,16,0.5,73,300,140,0
191,Andrew Walters,Midfielder,21,85,198,13,13,18,39,70,16,1.0,98,350,145,0
192,Martin Valencia,Midfielder,29,85,190,8,8,16,68,51,3,0.1,39,200,145,1
193,Robert Hughes,Midfielder,18,79,190,6,8,10,73,92,6,1.0,39,500,155,1
194,Christian Taylor,Midfielder,25,80,175,14,10,18,39,92,17,0.1,98,300,102,0
195,Timothy Burke,Midfielder,21,79,190,14,14,13,59,70,3,1.4,39,200,140,1
196,James Ball,Midfielder,18,85,182,16,14,18,43,86,3,1.4,73,300,155,0
197,Austin Bailey,Midfielder,21,70,182,14,16,13,98,24,6,1.4,98,350,145,3
198,John Mathews,Midfielder,17,80,186,8,16,18,39,24,7,0.5,43,400,155,3
199,Michael Marshall,Midfielder,20,82,190,10,16,13,32,50,7,0.8,73,200,145,0
200,John Peters,Midfielder,36,82,190,13,16,8,73,51,16,0.5,98,300,102,0
201,John Adams,Midfielder,16,70,186,8,14,16,43,51,21,2.0,43,300,145,1
202,Mario Lee,Midfielder,17,79,190,14,16,18,68,92,16,0.1,39,350,140,1
203,Michael Knapp,Midfielder,16,85,198,15,6,16,59,50,21,0.4,39,200,145,1
204,Aaron Harris,Midfielder,17,80,190,8,8,18,59,64,16,0.4,98,300,102,0
205,Mr. Mark Jones DDS,Midfielder,21,82,190,14,13,18,98,50,17,1.0,73,500,150,2
206,Michael Lee II,Midfielder,19,85,175,6,10,13,32,92,7,1.0,59,400,149,0
207,Eric Harris,Midfielder,17,70,177,10,14,13,59,64,21,1.4,73,400,155,0
208,David Ortiz,Midfielder,27,79,177,14,15,9,68,86,16,2.0,73,400,155,0
209,Thomas Vincent,Midfielder,21,80,186,13,13,10,73,92,21,2.0,39,350,155,1
210,Jeffery Pruitt,Midfielder,16,70,186,14,8,13,98,70,6,0.5,43,300,150,2
211,Robert Benitez,Midfielder,34,76,198,15,14,16,43,64,21,0.4,73,250,149,0
212,Mark Mccullough,Midfielder,16,80,198,13,8,18,98,92,6,0.8,59,250,145,2
213,Nathan Parker,Midfielder,36,85,175,6,13,10,59,92,17,0.4,43,500,155,1
214,Scott Parker,Midfielder,16,85,190,14,8,10,59,86,17,0.4,32,450,140,1
215,Julian Burke,Midfielder,25,77,186,6,10,13,59,86,3,0.4,73,500,102,0
216,Austin Richardson,Midfielder,18,85,177,6,8,8,98,50,17,1.4,68,500,150,2
217,Ethan Hardy,Midfielder,17,80,182,6,6,8,39,70,6,0.5,43,400,149,1
218,Christian Roberts,Midfielder,25,70,198,13,8,8,43,86,3,0.4,39,450,102,1
219,Michael Day,Midfielder,20,70,175,15,10,9,68,24,3,1.4,98,300,150,0
220,Joshua Knox,Midfielder,19,80,175,16,16,16,98,86,21,0.8,73,500,102,2
221,Dominic Adams,Midfielder,20,82,190,13,8,13,43,92,3,1.0,73,250,155,0
222,David Crosby,Midfielder,32,80,175,13,13,8,32,64,3,1.0,32,300,145,1
223,Christian Green DDS,Midfielder,16,70,175,15,14,13,68,24,7,0.4,68,300,90,3
224,Nicholas Marks,Midfielder,32,70,198,16,8,18,98,86,3,2.0,98,400,149,2
225,Hunter Brown,Midfielder,19,79,186,10,16,9,68,50,3,1.0,98,350,90,0
226,Brian Tanner,Midfielder,29,76,198,13,13,8,68,92,18,0.8,32,450,102,1
227,Geoffrey Jones,Midfielder,32,70,198,8,15,10,98,86,6,0.1,98,400,90,2
228,Daniel Stewart,Midfielder,29,79,177,16,8,18,39,92,21,0.8,68,250,150,0
229,Joshua Lamb,Midfielder,19,76,195,10,6,9,43,70,7,0.4,32,250,149,1
230,Jason Vaughn,Midfielder,34,76,190,15,10,16,43,70,21,0.4,39,200,155,1
231,Daniel Hamilton,Midfielder,22,85,198,8,15,10,59,24,7,0.8,59,400,90,3
232,Scott Jensen,Midfielder,34,80,186,8,16,18,73,24,16,2.0,68,400,149,3
233,Brian Bowman,Midfielder,19,70,195,14,6,16,32,64,16,0.1,43,450,90,1
234,Anthony Strong,Midfielder,22,70,186,10,13,18,43,70,18,2.0,68,200,145,0
235,Cody Griffin,Midfielder,25,77,186,15,15,9,39,70,18,0.8,39,500,102,1
236,Jeremy Harris,Midfielder,20,79,186,13,13,13,59,50,3,0.4,73,350,140,0
237,Miguel Jones,Midfielder,20,70,195,15,10,13,59,70,6,1.4,32,300,155,1
238,Sean Rogers,Midfielder,20,80,190,15,10,18,32,70,17,0.5,73,300,140,0
239,Brandon Hardin,Midfielder,21,82,175,14,8,9,73,70,21,2.0,32,250,140,1
240,James Curtis,Midfielder,22,77,177,16,16,8,32,70,7,0.1,43,500,149,1
241,Donald Nunez,Midfielder,27,82,177,15,10,8,98,51,17,0.5,32,350,140,2
242,Kevin Cross,Midfielder,20,82,195,13,16,18,59,51,6,0.5,32,400,145,1
243,Christopher Benton,Midfielder,25,70,177,16,14,13,59,64,18,1.0,43,500,140,1
244,Charles Mooney,Midfielder,16,70,186,13,15,13,59,86,7,0.1,43,350,102,1
245,Rodney Thompson,Midfielder,16,79,190,13,14,18,32,24,18,0.8,98,300,155,0
246,Nicholas Mccullough,Midfielder,21,85,186,8,15,13,43,50,16,1.0,98,300,90,0
247,Cameron Frey,Midfielder,25,77,175,8,16,10,68,86,3,0.1,98,500,140,0
248,Kevin Klein,Midfielder,29,76,186,10,10,16,98,50,7,1.0,39,400,149,2
249,Chad Stone,Midfielder,32,70,182,8,13,10,43,51,6,0.5,32,500,149,1
250,Kyle Ellis,Midfielder,19,82,186,6,6,10,32,64,7,0.1,32,300,90,1
251,Austin Nguyen,Midfielder,25,77,190,16,15,9,39,51,17,1.0,39,350,150,1
252,Cameron Harrison,Midfielder,34,85,195,6,6,10,73,70,16,0.4,68,350,145,0
253,Rodney Martinez,Midfielder,16,77,186,15,16,13,43,64,3,1.4,39,450,145,1
254,Stephen Clark,Midfielder,29,80,190,15,13,13,98,50,3,0.8,98,200,150,2
255,Andrew Young,Midfielder,22,80,177,8,8,8,73,64,17,2.0,68,500,150,0
256,Robert Whitehead,Midfielder,18,76,198,13,13,8,73,70,16,2.0,39,300,90,1
257,Dean Price,Midfielder,25,76,175,6,15,13,39,70,16,0.5,59,500,90,0
258,Brian Jordan PhD,Midfielder,29,70,175,15,8,8,39,51,7,1.0,68,250,150,0
259,Chase Schwartz,Midfielder,25,79,177,8,14,9,98,70,17,0.4,39,500,90,2
260,Ronald Evans,Midfielder,18,70,177,10,14,18,98,50,21,1.0,43,250,155,2
261,Christopher Nielsen,Midfielder,25,85,175,8,10,13,68,51,7,0.4,32,400,150,1
262,Billy Duffy,Midfielder,21,79,195,13,8,9,43,50,18,0.4,68,450,155,0
263,Thomas Lewis,Midfielder,21,85,190,6,13,13,39,86,7,0.1,73,350,149,0
264,Phillip Jackson,Midfielder,36,82,186,6,15,9,43,64,21,2.0,98,400,145,0
265,John Dominguez,Midfielder,27,77,177,10,16,9,68,86,6,0.4,43,500,150,1
266,James Sellers,Midfielder,27,77,190,16,13,8,59,50,3,1.0,32,250,145,1
267,Donald Wilkins,Midfielder,32,82,190,6,6,9,32,70,17,0.8,43,200,102,1
268,Justin Montoya,Midfielder,27,82,182,14,6,8,43,92,21,1.4,43,200,140,1
269,Richard Dorsey,Midfielder,21,85,190,16,14,16,98,70,3,0.1,98,450,102,2
270,Nathan Jones,Midfielder,25,76,177,16,15,10,73,92,18,0.8,43,250,155,1
271,Bryan Casey,Midfielder,16,79,177,16,13,16,73,64,3,1.0,43,400,102,1
272,Joseph Mcdonald,Midfielder,36,77,182,14,16,18,59,70,3,0.4,68,350,90,0
273,Bryan Rogers,Midfielder,34,70,186,6,6,18,98,64,17,0.1,73,400,149,2
274,Joseph Sanchez,Midfielder,19,79,175,10,15,13,59,51,7,0.5,39,200,150,1
275,Scott Mcguire,Midfielder,34,82,186,6,8,13,43,70,17,2.0,68,450,155,0
276,Daniel Wilson,Midfielder,27,80,182,10,14,16,43,24,18,2.0,98,450,102,0
277,Daniel Cervantes,Midfielder,25,70,182,16,14,13,98,64,17,1.0,73,300,155,2
278,Christopher Perez,Midfielder,20,79,175,15,15,18,43,64,7,2.0,59,300,140,0
279,Tony White,Midfielder,18,70,182,14,14,10,73,24,18,0.4,32,500,90,3
280,Matthew Singleton,Midfielder,25,76,198,14,8,18,32,51,16,0.8,68,200,102,0
281,Aaron Thomas,Midfielder,32,85,186,10,15,8,39,50,18,2.0,98,400,145,0
282,Gregory Alexander,Midfielder,20,70,190,15,10,16,43,70,6,0.5,39,350,90,1
283,Brian Aguirre,Midfielder,17,70,190,10,6,10,43,64,18,0.5,68,200,155,0
284,Dylan Lee,Midfielder,32,85,195,13,16,13,98,24,3,0.5,98,250,102,3
285,Jason Jordan,Midfielder,19,79,190,13,14,9,59,24,17,2.0,43,450,90,3
286,Bryce Morgan,Midfielder,32,79,190,6,10,13,43,70,7,0.4,39,300,145,1
287,Marco Morgan,Midfielder,16,77,190,13,10,9,73,50,17,0.5,73,450,155,0
288,Scott Juarez,Midfielder,27,80,195,6,6,9,32,70,16,0.8,39,250,155,1
289,Roberto Brown,Midfielder,29,79,195,15,8,9,68,92,16,0.8,32,450,145,1
290,Nathaniel Young,Midfielder,16,82,186,8,15,18,98,50,6,1.4,98,400,140,2
291,Brent Thompson,Midfielder,17,79,195,10,16,13,39,86,3,0.8,43,250,155,1
292,Dave Newton,Midfielder,20,82,175,14,8,8,39,92,18,0.1,59,500,150,0
293,Joshua Jones,Midfielder,18,70,182,6,14,16,98,50,6,1.0,39,250,90,2
294,Mike Scott,Midfielder,16,77,198,10,16,18,73,50,16,0.1,73,250,90,0
295,Eric Harrison,Midfielder,27,70,175,14,15,13,68,64,6,0.1,32,200,140,1
296,Roberto Carr,Midfielder,18,85,175,6,14,13,32,70,7,0.8,43,500,90,1
297,Steven Snyder,Midfielder,21,76,198,8,16,10,43,24,7,0.5,98,300,145,0
