,Name,Position,Age,Goal,Assist,Average Goals Per Game,Average Assits Per Game,Pass Percentage,Shooting Percentage on Goal,Playing Success,Whip a Cross,Tackle Percentage,Key Pass,Running Distance,Number of Matches,Classes
113,Scott Peterson,Attacker,16,49,15,1.2,1.2,86,68,98,52,89,5,400,150,3
114,Stephen Martinez,Attacker,29,42,9,1.2,1.0,51,43,36,96,60,12,300,149,1
115,Micheal Allen,Attacker,36,49,12,1.2,0.8,51,59,48,52,26,8,400,102,0
116,Stanley Peterson,Attacker,36,26,18,1.5,1.2,51,73,80,27,60,27,300,102,0
117,Gary Friedman,Attacker,20,26,13,0.8,1.5,64,43,98,89,42,12,450,90,1
118,Christopher Elliott,Attacker,16,58,18,0.2,1.5,24,43,36,40,86,14,300,149,2
119,Joseph Vargas,Attacker,32,32,15,0.8,1.2,64,43,55,89,26,15,400,150,1
120,Charles Brown,Attacker,32,49,13,0.5,0.5,64,68,80,96,26,15,250,90,1
121,Howard Fuller,Attacker,34,32,18,1.3,0.5,64,32,30,80,42,27,250,140,1
122,Mark Pratt,Attacker,20,42,12,1.2,1.5,51,68,98,80,42,21,500,155,1
123,David Baldwin,Attacker,36,39,5,0.5,1.5,92,98,36,35,26,5,450,145,3
124,Michael Ruiz,Attacker,32,49,22,0.5,2.0,92,59,48,40,60,15,450,90,3
125,Louis Clark,Attacker,25,58,12,1.5,1.3,50,39,48,80,86,8,500,90,1
126,Justin Martin,Attacker,18,39,9,0.5,2.0,64,39,55,27,60,12,450,145,0
127,Christopher Yu,Attacker,32,49,13,1.5,1.5,86,73,48,35,26,15,350,155,3
128,Todd Estrada,Attacker,18,42,9,1.3,1.2,24,59,48,27,48,12,450,155,0
129,Gregory Tanner,Attacker,19,26,15,1.2,1.2,50,43,30,80,42,15,200,102,1
130,Russell Tucker,Attacker,32,39,15,0.2,0.8,36,59,30,40,60,8,400,145,0
131,Robert Johnson,Attacker,29,39,15,0.5,1.5,24,59,98,52,26,12,350,155,0
132,Barry Brown,Attacker,29,39,15,1.5,1.5,64,68,98,27,42,27,200,149,0
133,Aaron King,Attacker,20,42,18,0.5,1.5,36,98,30,40,86,14,250,155,2
134,Clinton Montgomery,Attacker,22,26,15,1.2,1.3,36,32,55,27,86,5,200,149,2
135,Christian Green,Attacker,20,42,15,0.8,1.2,24,73,98,89,92,12,450,155,1
136,Craig Rodriguez,Attacker,22,56,12,0.8,1.5,36,68,52,80,26,5,200,140,1
137,Nicholas Bennett,Attacker,20,26,5,0.8,1.3,50,73,36,80,60,14,200,150,1
138,Barry Rowland,Attacker,25,49,18,0.2,1.5,86,39,98,52,60,27,450,145,0
139,John Lam,Attacker,27,32,5,1.3,1.5,86,32,30,40,89,5,400,150,3
140,Jason Harris,Attacker,25,32,22,0.8,1.2,50,59,30,52,48,15,400,145,0
141,Michael Graham,Attacker,25,39,22,1.0,0.8,92,73,80,52,48,14,200,155,0
142,Andrew Flores,Attacker,34,39,18,1.3,1.3,92,73,98,27,92,27,350,155,3
143,John Kennedy,Attacker,32,49,18,0.5,1.5,86,59,52,35,48,5,300,155,3
144,Joseph Hanson,Attacker,29,26,13,1.5,1.2,86,98,98,52,42,27,300,145,0
145,Richard Gaines,Attacker,21,26,22,1.5,0.8,51,59,52,96,26,21,350,155,1
146,Jason Fisher,Attacker,22,49,9,1.5,1.3,64,32,52,96,26,27,250,90,1
147,Richard Moreno,Attacker,22,42,9,1.5,0.8,51,32,36,52,60,21,300,155,0
148,Ethan Dickerson,Attacker,21,26,9,0.8,0.8,92,39,36,35,26,15,300,155,3
149,Daniel Robinson Jr.,Attacker,18,56,18,1.3,2.0,36,39,52,80,26,8,350,150,1
150,Brad Morrow,Attacker,16,49,15,0.8,1.3,51,32,48,40,26,27,400,150,0
151,Mr. Ryan Estes,Attacker,27,42,22,0.8,0.8,50,32,98,40,26,14,200,150,0
152,Derek Taylor,Attacker,22,32,12,1.0,1.0,50,59,36,27,89,15,200,140,2
153,Colton Johnson,Attacker,25,39,12,0.2,1.0,51,32,55,52,26,14,300,149,0
154,Christopher Garrett,Attacker,25,39,5,0.8,0.8,92,98,36,40,89,27,500,149,3
155,Kevin Soto,Attacker,36,58,12,0.8,1.3,64,39,36,27,92,15,200,140,2
156,Juan Waller,Attacker,25,42,18,0.2,1.5,36,32,98,52,42,12,350,140,0
157,Eric Mcclure,Attacker,17,39,13,1.2,2.0,51,43,98,89,92,12,200,102,1
158,Robert Roy,Attacker,27,26,15,1.0,2.0,51,59,80,40,89,8,200,150,2
159,Francisco Pena,Attacker,27,39,22,0.8,1.3,50,32,98,89,26,8,450,140,1
160,Brian Lee,Attacker,34,56,22,1.5,1.0,50,68,36,89,86,12,200,102,1
161,Jason Allen,Attacker,27,39,5,1.0,1.5,92,32,36,27,26,8,200,149,3
162,Jordan Butler,Attacker,22,56,15,1.5,0.5,92,73,36,52,48,15,450,149,3
163,Robert Mcknight,Attacker,27,56,15,1.0,1.3,50,98,36,89,42,8,250,155,1
164,Justin Hanson,Attacker,32,56,15,0.2,2.0,36,98,98,35,26,21,500,150,0
165,James Dickerson,Attacker,29,49,12,1.2,2.0,64,98,48,27,89,21,400,149,2
166,Gary Montoya,Attacker,27,49,9,1.0,0.8,51,73,36,96,26,8,450,155,1
167,Joseph Ballard,Attacker,32,42,22,1.5,1.2,24,39,52,35,26,12,250,145,0
168,Shawn Aguilar,Attacker,29,58,15,0.5,1.0,50,98,98,52,26,15,350,102,0
169,Jesse Thornton,Attacker,17,56,9,1.0,2.0,51,39,98,80,89,14,500,149,1
170,Trevor Brown,Attacker,21,49,13,1.5,0.8,36,39,48,89,60,21,450,149,1
171,Joseph Glover,Attacker,27,49,9,1.2,1.0,92,68,98,52,26,5,400,140,0
172,Alan Marshall,Attacker,20,56,15,1.2,1.3,86,59,36,52,48,27,450,90,3
173,Samuel Elliott,Attacker,16,49,9,0.2,1.5,24,32,98,40,26,14,200,90,0
174,Michael Thompson,Attacker,22,39,22,1.0,2.0,92,73,52,52,48,21,300,155,3
175,Shawn Moore,Attacker,19,58,9,0.5,1.2,86,39,80,89,92,8,300,150,1
176,Larry Rodriguez,Attacker,19,56,15,0.2,0.8,92,98,48,27,89,8,250,145,3
177,Keith Johnson,Attacker,19,26,22,1.2,1.5,50,59,98,52,48,14,400,149,0
178,Jose Chavez,Attacker,21,58,22,1.0,1.3,51,59,48,40,48,12,500,140,0
179,John Stevens,Attacker,29,32,5,0.2,1.5,50,68,30,27,60,12,200,145,0
180,Jonathan Benitez,Attacker,34,32,18,0.8,1.3,51,43,55,89,60,27,300,150,1
181,David Phillips,Attacker,17,58,18,0.5,0.5,86,68,30,96,89,15,300,102,1
182,Jason Sutton,Attacker,16,42,9,1.2,0.5,64,98,36,35,26,15,250,102,3
183,David Kennedy,Attacker,32,39,5,1.3,1.0,50,32,48,27,60,14,500,140,0
184,Jon Davis,Attacker,17,49,9,0.2,1.0,36,43,55,52,89,12,300,155,2
185,Randy Robinson,Attacker,16,56,22,0.2,0.5,92,43,55,80,26,8,500,102,1
186,Ryan Burton,Attacker,16,49,9,0.5,1.3,36,59,98,52,86,8,350,90,2
187,Keith Hays,Attacker,34,39,18,1.0,0.5,92,98,30,27,60,21,300,150,3
188,Matthew Raymond,Attacker,18,26,18,0.2,1.2,86,68,30,96,42,15,200,149,1
189,Timothy Johnson,Attacker,27,56,9,1.5,1.2,92,73,30,35,26,21,200,145,3
190,Patrick Hall,Attacker,29,56,22,1.2,0.5,92,32,52,52,26,15,450,140,3
191,Anthony Farmer,Attacker,29,39,22,0.8,0.8,86,68,48,80,60,14,400,149,1
192,Stuart Rodriguez,Attacker,21,58,13,0.5,1.0,86,98,98,52,60,21,500,102,0
193,Thomas White,Attacker,22,32,5,1.3,0.5,50,43,80,27,60,21,200,90,0
194,Timothy Long,Attacker,27,49,5,0.5,0.5,64,39,55,52,92,12,300,149,2
195,Bryan Edwards,Attacker,17,49,5,1.3,1.5,36,43,98,52,26,5,250,90,0
196,Phillip Hernandez,Attacker,19,32,12,0.8,1.0,51,98,30,96,60,15,350,90,1
197,Stephen Mason,Attacker,20,58,5,1.5,0.8,51,43,36,89,26,14,300,140,1
198,Michael Hughes,Attacker,20,42,12,1.3,0.8,86,98,98,35,60,8,200,140,0
199,Scott Harris,Attacker,21,56,18,1.5,1.2,86,73,80,40,26,21,300,90,0
200,Philip Simmons,Attacker,19,42,18,0.5,2.0,92,73,80,96,89,14,250,102,1
201,Hunter Friedman,Attacker,27,56,18,1.0,1.2,36,68,48,27,86,27,300,155,2
202,Christopher Banks,Attacker,19,58,15,1.3,2.0,24,59,80,52,48,5,400,102,0
203,Thomas Moreno,Attacker,21,39,5,0.8,1.2,86,73,55,35,48,14,450,155,3
204,Tracy Clay,Attacker,25,39,18,1.3,1.3,92,98,30,35,86,12,450,155,3
205,Brian Johnson,Attacker,20,39,15,0.2,1.5,50,32,80,96,42,21,350,140,1
206,Shane Espinoza,Attacker,16,58,12,0.2,0.5,86,43,55,35,89,14,500,149,3
207,Jack Herrera,Attacker,32,32,9,1.3,2.0,51,32,98,27,92,8,400,102,2
208,Charles Solomon,Attacker,16,56,15,1.0,1.3,64,68,55,80,42,27,250,140,1
209,Jeremy Weber,Attacker,19,49,18,1.2,0.8,86,39,48,80,60,12,300,145,1
210,Matthew Stewart,Attacker,25,32,13,1.2,1.2,51,59,36,40,92,15,500,149,2
211,Paul Davis III,Attacker,18,42,12,1.0,2.0,64,43,98,27,60,14,450,90,0
212,Larry Bryant,Attacker,27,26,5,1.2,1.2,51,68,80,27,42,12,200,90,0
213,Darrell Smith,Attacker,16,26,22,0.5,2.0,50,98,80,35,42,12,250,90,0
214,Timothy Allen,Attacker,20,32,22,1.3,1.2,86,68,30,35,60,15,400,145,3
215,Gary Brown,Attacker,21,42,12,0.8,1.2,24,68,30,89,92,5,200,155,1
216,Gregory Sanchez,Attacker,29,32,15,0.2,0.5,64,43,30,40,48,8,350,155,0
217,Kevin Edwards,Attacker,20,42,15,1.3,1.2,51,73,48,89,48,5,450,150,1
218,Curtis Stafford,Attacker,34,49,22,1.5,1.0,50,39,30,89,89,14,200,149,1
219,Tom Hamilton,Attacker,19,49,15,1.5,2.0,86,98,98,35,89,21,300,90,3
220,Carl Allen,Attacker,32,49,18,1.3,0.8,64,59,52,35,26,8,300,90,0
221,Isaiah Campbell,Attacker,22,58,22,1.3,1.5,24,43,30,40,26,14,450,150,0
222,David Vazquez,Attacker,17,42,13,0.8,0.5,51,43,52,35,42,12,200,149,0
223,Jason Novak,Attacker,17,32,18,1.5,0.5,64,59,52,89,60,15,200,145,1
224,Samuel Johnson,Attacker,16,32,18,0.8,0.5,51,73,36,35,26,27,350,90,0
225,Jeffrey Chan,Attacker,34,39,15,1.5,1.3,64,32,55,80,89,21,450,145,1
226,John Williams,Attacker,22,58,13,1.3,0.8,51,68,36,80,60,15,500,140,1
227,Jesse Bailey,Attacker,18,42,15,1.3,0.5,64,32,52,89,92,14,300,90,1
228,Christopher Walton,Attacker,34,58,9,0.8,0.8,24,73,30,89,92,27,450,140,1
229,John Hernandez,Attacker,29,32,18,1.5,1.0,64,73,30,27,42,15,450,145,0
230,James Webster,Attacker,27,42,18,1.5,1.5,51,73,55,35,48,15,200,145,0
231,Omar Gardner,Attacker,16,56,18,1.0,0.8,36,59,55,80,86,8,300,102,1
232,Jason Peterson,Attacker,22,39,22,1.2,1.3,50,59,30,96,48,15,250,140,1
233,David Mitchell,Attacker,36,39,18,1.0,1.5,50,39,55,89,60,12,300,102,1
234,Jonathan Calderon,Attacker,25,26,15,1.3,1.2,92,98,52,35,26,12,200,145,3
235,Brian Weaver,Attacker,17,26,22,1.5,1.2,92,68,98,40,86,27,400,145,3
236,Joseph Maynard,Attacker,19,49,9,1.0,1.2,36,59,36,35,48,12,300,140,0
237,James Conner,Attacker,34,58,22,1.3,1.5,86,43,30,40,89,14,200,155,3
238,Paul Carpenter,Attacker,32,26,22,0.2,0.8,92,59,52,80,60,21,300,102,1
239,Dylan Proctor,Attacker,27,56,5,0.2,1.5,51,32,98,80,48,21,250,155,1
240,Alexander Thomas,Attacker,25,26,18,1.5,1.3,92,32,98,27,42,21,350,102,0
241,Benjamin Alexander,Attacker,22,32,9,0.8,2.0,86,68,80,40,48,21,200,149,0
242,Steven Mendoza,Attacker,18,56,15,1.5,1.0,50,39,36,27,86,12,450,145,2
243,Ivan Chapman,Attacker,17,56,9,1.0,0.5,24,98,80,27,89,15,500,150,2
244,Edward Patel,Attacker,29,32,22,0.2,1.2,50,39,48,35,86,15,200,155,2
245,Levi Pace,Attacker,19,26,15,0.5,1.5,86,98,52,40,92,15,300,145,3
246,Lawrence Torres,Attacker,27,26,22,1.3,1.2,64,39,36,40,48,5,450,140,0
247,Joseph Smith,Attacker,18,56,15,0.8,2.0,86,59,36,27,86,5,300,90,3
248,Samuel Park,Attacker,21,39,18,1.3,0.8,86,39,52,35,86,21,450,90,3
249,John Robinson,Attacker,16,39,18,1.2,1.0,51,32,80,96,26,21,450,140,1
250,Michael Berger,Attacker,20,32,9,0.8,1.5,50,98,98,89,26,27,400,150,1
251,Miguel Mcdowell,Attacker,22,56,5,1.3,0.8,64,39,48,35,89,5,500,102,2
252,Steven Rodriguez,Attacker,25,56,5,0.8,2.0,24,43,55,40,60,15,200,102,0
253,Michael Murray Jr.,Attacker,22,58,15,1.5,1.3,51,43,52,80,89,5,400,90,1
254,Lawrence Sandoval,Attacker,25,58,18,0.5,2.0,92,98,98,27,92,14,300,155,3
255,Kenneth Lopez,Attacker,27,39,18,0.5,2.0,50,73,80,52,42,8,350,102,0
256,Thomas Pearson,Attacker,21,26,12,0.8,1.2,36,59,36,89,26,8,400,155,1
257,David Owens,Attacker,16,42,22,0.8,1.2,51,98,52,80,26,15,500,90,1
258,Christopher Velasquez,Attacker,27,39,9,0.5,2.0,36,59,48,80,26,27,350,102,1
259,Andrew Duncan,Attacker,18,42,9,1.2,1.2,86,43,55,40,60,8,450,149,3
260,Dean Lambert,Attacker,36,26,15,0.5,1.5,86,68,30,80,86,8,400,150,1
261,Frederick Walker,Attacker,29,32,9,0.8,1.5,50,43,30,96,42,12,400,149,1
262,Joshua Brown,Attacker,22,26,12,0.5,1.5,24,68,52,89,60,8,500,149,1
263,Christopher Lane,Attacker,19,39,5,0.5,1.2,50,32,52,35,86,8,450,149,2
264,Adrian Webb,Attacker,29,42,15,0.8,1.0,36,98,30,96,42,12,400,155,1
265,Anthony Clarke,Attacker,34,39,5,1.0,0.5,64,59,30,27,42,21,350,155,0
266,Steven Alexander,Attacker,18,49,9,0.8,0.8,64,32,55,35,26,12,300,102,0
267,Anthony Mckee,Attacker,18,58,5,1.5,1.3,51,73,55,96,60,8,400,90,1
268,Brian Hall,Attacker,17,58,18,1.2,1.3,86,68,36,80,86,8,300,140,1
269,Raymond Rivera,Attacker,18,26,22,1.0,0.8,64,32,36,96,26,12,450,145,1
270,Lance Watts,Attacker,18,39,9,1.3,1.2,86,43,30,40,48,12,350,102,3
271,Russell Bruce,Attacker,20,32,18,0.2,2.0,24,98,48,40,60,14,250,155,0
272,Christopher Price,Attacker,32,32,18,0.5,0.8,24,39,52,27,92,15,400,140,2
273,Gene Gonzalez,Attacker,27,49,22,1.5,1.2,64,98,52,89,42,21,350,155,1
274,Christopher Bates,Attacker,34,56,5,0.8,0.5,50,98,98,40,86,27,250,145,2
275,Jeffrey Glover,Attacker,20,42,9,1.5,2.0,86,32,52,89,92,12,500,150,1
276,Edgar Arnold,Attacker,20,32,18,0.5,2.0,92,98,98,35,89,27,350,149,3
277,Marvin Nunez,Attacker,27,56,13,1.3,2.0,36,39,30,35,42,21,450,155,0
278,David Leonard,Attacker,36,58,5,1.5,0.5,86,68,36,52,89,21,300,102,3
279,Brandon Roy,Attacker,17,49,22,1.3,0.5,24,32,98,96,92,8,350,155,1
280,Thomas Ramirez,Attacker,20,56,9,1.0,0.5,36,68,98,96,89,15,500,140,1
281,Randall Vargas,Attacker,20,39,5,0.8,1.0,64,68,48,52,86,21,250,145,2
282,Jeremy Glover,Attacker,32,26,18,1.3,0.5,92,32,36,40,89,8,450,145,3
283,Alexander Neal,Attacker,29,32,5,1.0,2.0,51,39,52,52,48,8,200,145,0
284,Jonathan Smith,Attacker,20,32,9,1.0,1.5,50,39,30,89,26,12,200,155,1
285,James Hunter,Attacker,19,49,12,1.0,0.5,50,68,30,80,42,5,250,145,1
286,David Ramos IV,Attacker,20,26,22,0.5,0.8,24,68,48,80,86,15,450,155,1
287,Michael Gutierrez,Attacker,34,39,5,1.3,0.8,36,98,48,40,42,15,200,102,0
288,Randy Dean,Attacker,32,56,18,1.5,1.3,51,73,55,89,26,15,400,140,1
289,Sean Mcdonald,Attacker,36,49,18,0.8,0.8,50,98,80,52,48,8,350,149,0
290,Joe Campbell,Attacker,21,42,5,1.5,0.5,24,32,52,52,26,15,500,102,0
291,Alex Reynolds,Attacker,18,39,22,1.3,1.0,92,43,36,52,86,8,400,140,3
